CHROM	BIN_START	N_SNPS	TajimaD
20	44410000	90	-0.513147
20	44420000	49	0.568982
20	44430000	42	0.223358
20	44440000	61	-0.628991
20	44450000	46	-0.398869
20	44460000	43	-1.81533
20	44470000	50	-1.33124
20	44480000	34	-1.70881
20	44490000	43	-0.252797
20	44500000	30	-1.49213
20	44510000	37	-1.3973
20	44520000	37	-0.811842
20	44530000	32	-0.595044
20	44540000	47	-1.51371
20	44550000	46	-1.04707
20	44560000	34	-0.96574
20	44570000	32	-1.14921
20	44580000	31	-0.620707
20	44590000	42	-0.998857
20	44600000	54	-1.29184

Mean  -0.8870146999999999
Standard Deviation   0.6237514962844283
