CHROM	BIN_START	N_SNPS	TajimaD
11	17100000	48	-0.857962
11	17110000	32	-1.05363
11	17120000	27	-1.87561
11	17130000	49	-1.30657
11	17140000	42	-1.029
11	17150000	41	-1.2513
11	17160000	36	0.0597704
11	17170000	58	0.172633
11	17180000	56	0.761423
11	17190000	55	-0.322214
11	17200000	42	0.227204
11	17210000	48	-0.373376
11	17220000	71	0.50097
11	17230000	91	-1.30707
11	17240000	34	0.108132
11	17250000	47	-0.00588281
11	17260000	49	-0.055045
11	17270000	48	1.23018
11	17280000	49	-0.119924
11	17290000	35	-1.0941
11	17300000	25	-0.864778
11	17310000	42	-0.590024
11	17320000	44	-0.0707944
11	17330000	31	-1.01196
11	17340000	38	0.658131
11	17350000	46	0.405705
11	17360000	54	0.461403
11	17370000	51	-0.356053
11	17380000	64	0.570019
11	17390000	72	-0.492351

Mean  -0.296069127
Standard Deviation 0.7497784700408182
