CHROM	BIN_START	N_SNPS	TajimaD
10	112900000	70	-1.73155
10	112910000	69	-0.736002
10	112920000	46	-0.878212
10	112930000	44	-0.82885
10	112940000	43	-0.776651
10	112950000	58	0.26241
10	112960000	61	1.07581
10	112970000	50	-0.257075
10	112980000	77	-1.01007
10	112990000	34	-0.241625
10	113000000	37	-0.676646
10	113010000	55	-0.818702
10	113020000	49	0.599165
10	113030000	52	-1.1865
10	113040000	36	-1.15011
10	113050000	34	-0.708801
10	113060000	44	-0.420642

Mean  -0.5578853529411765
Standard Deviation  0.6882187002900079
