CHROM	BIN_START	N_SNPS	TajimaD
6	20680000	31	0.716536
6	20690000	36	-1.55828
6	20700000	35	-0.926206
6	20710000	44	0.481667
6	20720000	46	0.363854
6	20730000	99	0.886066
6	20740000	88	-1.22564
6	20750000	73	1.76386
6	20760000	54	0.487995
6	20770000	50	0.147769
6	20780000	31	-0.73862
6	20790000	51	0.800068
6	20800000	66	0.255708
6	20810000	59	1.25867
6	20820000	65	0.943774
6	20830000	53	0.0355209
6	20840000	46	0.372589
6	20850000	37	-0.133959
6	20860000	57	-0.227703
6	20870000	49	0.212329
6	20880000	48	0.349826
6	20890000	64	-0.15924
6	20900000	50	0.137312

Mean  0.18451721304347826
Standard Deviation 0.7742118687659426
